lon,lat,city,region,type
115.4852,38.87626667,Baoding,BTH,ap
116.39825,40.045975,Beijing,BTH,ap
116.8715667,38.31576667,Cangzhou,BTH,ap
119.9453333,31.7911,Changzhou,YRD,ap
123.43885,41.78735,Shenyang,Other,ap
104.0043565,30.72078056,Chengdu,Other,ap
117.92774,40.96416,Chengde,BTH,ap
121.6112037,38.93824444,Dalian,Other,ap
113.7596296,23.00212963,Dongguan,PRD,ap
113.0655,22.9843,Foshan,PRD,ap
119.3313333,26.0639,Fuzhou,Other,ap
113.3542,23.19053,Guangzhou,PRD,ap
106.7292333,26.4907,Guiyang,Other,ap
126.6523818,45.73959091,Haerbin,Other,ap
110.37004,20.00918,Haikou,Other,ap
114.513875,36.60786,Handan,BTH,ap
120.0819091,30.21117273,Hangzhou,YRD,ap
117.2478,31.84824,Hefei,Other,ap
115.6761,37.7448,Hengshui,BTH,ap
111.6653375,40.8014625,Huhehaote,Other,ap
120.07,30.8244,Huzhou,YRD,ap
119.04755,33.576,Huaian,YRD,ap
114.418,22.96128,Huizhou,PRD,ap
116.9817714,36.64644286,Jinan,Other,ap
120.735,30.7712,Jiaxing,YRD,ap
113.070975,22.578475,Jiangmen,PRD,ap
119.6665,29.08995,Jinhua,YRD,ap
102.7082857,25.0129,Kunming,Other,ap
91.120025,29.64555,Lasa,Other,ap
103.86275,36.0405,Lanzhou,Other,ap
116.72835,39.54625,Langfang,BTH,ap
119.9076667,28.44436667,Lishui,YRD,ap
119.176,34.5885,Lianyungang,YRD,ap
115.8917667,28.69678333,Nanchang,Other,ap
118.775,32.06256667,Nanjing,YRD,ap
108.3204286,22.81305714,Nanning,Other,ap
120.8786,31.99044,Nantong,YRD,ap
121.6294286,29.8667,Ningbo,YRD,ap
119.6244,39.934725,Qinhuangdao,Other,ap
120.358975,36.13895,Qingdao,Other,ap
118.8656667,28.96043333,Quzhou,YRD,ap
118.1075,24.46125,Xiamen,Other,ap
121.4565556,31.20905556,Shanghai,YRD,ap
120.605,29.9919,Shaoxing,YRD,ap
114.1639091,22.59927273,Shenzhen,PRD,ap
114.489781,38.03094444,Shijiazhuang,BTH,ap
120.60525,31.3015125,Suzhou,YRD,ap
118.2862,33.9542,Suqian,YRD,ap
121.3563333,28.6258,Taizhou,YRD,ap
112.5159,37.8505625,Taiyuan,Other,ap
119.9033,32.47056667,Taizhou_s,YRD,ap
118.1829167,39.64495333,Tangshan,BTH,ap
117.2659,38.9907,Tianjin,BTH,ap
120.6855,27.99855,Wenzhou,YRD,ap
87.5954,43.85785,Urumchi,Other,ap
120.3095,31.5799,Wuxi,YRD,ap
114.25386,30.5396,Wuhan,Other,ap
108.9898923,34.30498462,Xi'an,Other,ap
101.702,36.63713333,Xining,Other,ap
114.506675,37.0771,Xingtai,BTH,ap
117.23046,34.2604,Xuzhou,YRD,ap
120.1663333,33.39703333,Yancheng,YRD,ap
119.4176667,32.3913,Yangzhou,YRD,ap
106.1066,38.53423333,Yinchuan,Other,ap
114.899425,40.8182025,Zhangjiakou,BTH,ap
125.35495,43.82821,Changchun,Other,ap
112.98363,28.20522,Changsha,Other,ap
112.4876667,23.09503333,Zhaoqing,PRD,ap
119.5336667,32.1784,Zhenjiang,YRD,ap
113.652,34.77668889,Zhengzhou,Other,ap
113.4034,22.5168,Zhongshan,PRD,ap
106.5068571,29.61398571,Chongqing,Other,ap
122.2071333,29.99016667,Zhoushan,YRD,ap
113.499,22.285925,Zhuhai,PRD,ap
114,22.5333333,59493,,bc
108.216667,22.6333333,59431,,bc
115.983333,29.5833333,58506,,bc
113.65,34.7166667,57083,,bc
91.1333333,29.6666667,55591,,bc
117.533333,37.4833333,54725,,bc
117.116667,40.65,54421,,bc
124.083333,41.9166667,54351,,bc
123.783333,41.3166667,54346,,bc
123,41.0833333,54339,,bc
116.116667,43.95,54102,,bc
127.6,44.73,54084,,bc
112.9,42.4,53276,,bc
100.89,36.283,52859,,bc
93.5166667,42.8166667,52203,,bc
83.6666667,39,51747,,bc
87.65,43.7833333,51463,,bc
87.9666667,47.1,51058,,bc